"","English.Word","anger","disgust","fear","joy","negative","positive","sadness","surprise","Spanish.Word"
"67","abysmal",0,0,0,0,1,0,1,0,"abismal"
"68","abyss",0,0,1,0,1,0,1,0,"abismo"
"69","academic",0,0,0,0,0,1,0,0,"académico"
"70","academy",0,0,0,0,0,1,0,0,"academia"
"77","acceptable",0,0,0,0,0,1,0,0,"aceptable"
"78","acceptance",0,0,0,0,0,1,0,0,"aceptación"
"80","accessible",0,0,0,0,0,1,0,0,"accesible"
"83","accident",0,0,1,0,1,0,1,1,"accidente"
"84","accidental",0,0,1,0,1,0,0,1,"accidental"
"85","accidentally",0,0,0,0,0,0,0,1,"accidentalmente"
"86","accolade",0,0,0,1,0,1,0,1,"espaldarazo"
"88","accommodation",0,0,0,0,0,1,0,0,"alojamiento"
"89","accompaniment",0,0,0,1,0,1,0,0,"acompañamiento"
"93","accomplish",0,0,0,1,0,1,0,0,"realizar"
"94","accomplished",0,0,0,1,0,1,0,0,"logrado"
"95","accomplishment",0,0,0,0,0,1,0,0,"logro"
"96","accord",0,0,0,0,0,1,0,0,"acuerdo"
"100","accountability",0,0,0,0,0,1,0,0,"responsabilidad"
"101","accountable",0,0,0,0,0,1,0,0,"responsable"
"105","accredited",0,0,0,0,0,1,0,0,"autorizado"
"108","accueil",0,0,0,0,0,1,0,0,"accueil"
"112","accurate",0,0,0,0,0,1,0,0,"preciso"
"113","accursed",1,0,1,0,1,0,1,0,"maldito"
"114","accusation",1,1,0,0,1,0,0,0,"acusación"
"115","accusative",0,0,0,0,1,0,0,0,"acusativo"
"116","accused",1,0,1,0,1,0,0,0,"acusado"
"117","accuser",1,0,1,0,1,0,0,0,"acusador"
"118","accusing",1,0,1,0,1,0,0,0,"acusando"
"120","ace",0,0,0,0,0,1,0,0,"as"
"122","ache",0,0,0,0,1,0,1,0,"dolor"
"123","achieve",0,0,0,1,0,1,0,0,"lograr"
"124","achievement",0,0,0,1,0,1,0,0,"logro"
"125","aching",0,0,0,0,1,0,1,0,"dolor"
"126","acid",0,0,0,0,1,0,0,0,"ácido"
"130","acknowledgment",0,0,0,0,0,1,0,0,"Reconocimiento"
"138","acquire",0,0,0,0,0,1,0,0,"adquirir"
"139","acquiring",0,0,0,0,0,1,0,0,"adquisidor"
"144","acrobat",0,0,1,1,0,1,0,0,"acróbata"
"147","action",0,0,0,0,0,1,0,0,"acción"
"148","actionable",1,1,0,0,1,0,0,0,"procesable"
"152","actual",0,0,0,0,0,1,0,0,"actual"
"155","acuity",0,0,0,0,0,1,0,0,"agudeza"
"156","acumen",0,0,0,0,0,1,0,0,"perspicacia"
"161","adapt",0,0,0,0,0,1,0,0,"adaptar"
"162","adaptable",0,0,0,0,0,1,0,0,"adaptable"
"166","adder",1,1,1,0,1,0,1,0,"sumador"
"167","addiction",0,0,0,0,1,0,0,0,"adiccion"
"173","addresses",0,0,0,0,0,1,0,0,"direcciones"
"174","adept",0,0,0,0,0,1,0,0,"adepto"
"175","adequacy",0,0,0,0,0,1,0,0,"adecuación"
"184","adipose",0,0,0,0,1,0,0,0,"adiposo"
"191","adjudicate",0,0,1,0,1,0,0,0,"juzgar"
"193","adjunct",0,0,0,0,0,1,0,0,"adjunto"
"200","admirable",0,0,0,1,0,1,0,0,"admirable"
"201","admiral",0,0,0,0,0,1,0,0,"almirante"
"203","admiration",0,0,0,1,0,1,0,0,"admiración"
"204","admire",0,0,0,0,0,1,0,0,"admirar"
"205","admirer",0,0,0,0,0,1,0,0,"admirador"
"207","admissible",0,0,0,0,0,1,0,0,"admisible"
"214","admonition",0,0,1,0,1,0,0,0,"amonestación"
"221","adorable",0,0,0,1,0,1,0,0,"adorable"
"222","adoration",0,0,0,1,0,1,0,0,"adoración"
"223","adore",0,0,0,1,0,1,0,0,"adorar"
"226","adrift",0,0,1,0,1,0,1,0,"a la deriva"
"228","adulterated",0,0,0,0,1,0,0,0,"espurio"
"229","adultery",0,1,0,0,1,0,1,0,"adulterio"
"230","advance",0,0,1,1,0,1,0,1,"ventaja"
"231","advanced",0,0,0,0,0,1,0,0,"avanzado"
"232","advancement",0,0,0,0,0,1,0,0,"avance"
"234","advantage",0,0,0,0,0,1,0,0,"ventaja"
"235","advantageous",0,0,0,0,0,1,0,0,"ventajoso"
"236","advent",0,0,0,1,0,1,0,0,"adviento"
"237","adventure",0,0,0,0,0,1,0,0,"aventura"
"239","adventurous",0,0,0,0,0,1,0,0,"aventurero"
"240","adversary",1,0,0,0,1,0,0,0,"adversario"
"241","adverse",1,1,1,0,1,0,1,0,"adverso"
"242","adversity",1,0,1,0,1,0,1,0,"adversidad"
"246","advisable",0,0,0,0,0,1,0,0,"aconsejable"
"247","advise",0,0,0,0,0,1,0,0,"consejo"
"250","adviser",0,0,0,0,0,1,0,0,"asesor"
"251","advocacy",1,0,0,1,0,1,0,0,"Abogacía"
"260","aesthetic",0,0,0,0,0,1,0,0,"estético"
"261","aesthetics",0,0,0,1,0,1,0,0,"estética"
"264","affable",0,0,0,0,0,1,0,0,"afable"
"267","affection",0,0,0,1,0,1,0,0,"cariño"
"271","affiliated",0,0,0,0,0,1,0,0,"asociado"
"274","affirm",0,0,0,0,0,1,0,0,"afirmar"
"275","affirmation",0,0,0,0,0,1,0,0,"afirmación"
"276","affirmative",0,0,0,0,0,1,0,0,"afirmativo"
"277","affirmatively",0,0,0,0,0,1,0,0,"afirmativamente"
"279","afflict",0,0,1,0,1,0,1,0,"afligir"
"280","afflicted",0,0,0,0,1,0,0,0,"afligido"
"281","affliction",0,1,1,0,1,0,1,0,"aflicción"
"282","affluence",0,0,0,1,0,1,0,0,"afluencia"
"283","affluent",0,0,0,0,0,1,0,0,"afluente"
"284","afford",0,0,0,0,0,1,0,0,"solventar"
"285","affront",1,1,1,0,1,0,1,1,"afrenta"
"290","afraid",0,0,1,0,1,0,0,0,"atemorizado"
"293","aftermath",1,1,1,0,1,0,1,0,"secuelas"
"295","aftertaste",0,0,0,0,1,0,0,0,"regusto"
"297","aga",0,0,1,0,0,1,0,0,"aga"
"304","aggravated",1,0,0,0,1,0,0,0,"agravado"
"305","aggravating",1,0,0,0,1,0,1,0,"agravante"
"306","aggravation",1,1,0,0,1,0,0,0,"agravación"
"309","aggression",1,0,1,0,1,0,0,0,"agresión"
"310","aggressive",1,0,1,0,1,0,0,0,"agresivo"
"311","aggressor",1,0,1,0,1,0,0,0,"agresor"
"312","aghast",0,1,1,0,1,0,0,1,"espantado"
"313","agile",0,0,0,0,0,1,0,0,"ágil"
"314","agility",0,0,0,0,0,1,0,0,"agilidad"
"315","agitated",1,0,0,0,1,0,0,0,"agitado"
"316","agitation",1,0,0,0,1,0,0,0,"agitación"
"319","agonizing",0,0,1,0,1,0,0,0,"agonizante"
"320","agony",1,0,1,0,1,0,1,0,"agonía"
"321","agree",0,0,0,0,0,1,0,0,"aceptar"
"322","agreeable",0,0,0,0,0,1,0,0,"agradable"
"323","agreed",0,0,0,0,0,1,0,0,"acordado"
"324","agreeing",0,0,0,0,0,1,0,0,"estar de acuerdo"
"325","agreement",0,0,0,0,0,1,0,0,"convenio"
"327","agriculture",0,0,0,0,0,1,0,0,"agricultura"
"328","aground",0,0,0,0,1,0,0,0,"encallado"
"330","ahead",0,0,0,0,0,1,0,0,"adelante"
"331","aid",0,0,0,0,0,1,0,0,"ayuda"
"332","aiding",0,0,0,0,0,1,0,0,"ayudando"
"333","ail",0,0,0,0,1,0,1,0,"afligir"
"334","ailing",0,0,1,0,1,0,1,0,"enfermo"
"337","aimless",0,0,0,0,1,0,0,0,"sin objetivo"
"345","airs",0,1,0,0,1,0,0,0,"aires"
"351","alabaster",0,0,0,0,0,1,0,0,"alabastro"
"352","alarm",0,0,1,0,1,0,0,1,"alarma"
"353","alarming",0,0,1,0,1,0,0,1,"alarmante"
"358","alcoholism",1,1,1,0,1,0,1,0,"alcoholismo"
"361","alertness",0,0,1,0,0,1,0,1,"vigilancia"
"362","alerts",0,0,1,0,0,0,0,1,"alertas"
"368","alien",0,1,1,0,1,0,0,0,"extraterrestre"
"369","alienate",1,1,0,0,1,0,0,0,"enajenar"
"370","alienated",0,0,0,0,1,0,1,0,"alienado"
"371","alienation",1,1,1,0,1,0,1,0,"alienación"
"376","alimentation",0,0,0,0,0,1,0,0,"alimentación"
"377","alimony",0,0,0,0,1,0,0,0,"pensión alimenticia"
"379","alive",0,0,0,1,0,1,0,0,"viva"
"382","allay",0,0,0,0,0,1,0,0,"aliviar"
"383","allegation",1,0,0,0,1,0,0,0,"alegación"
"384","allege",0,0,0,0,1,0,0,0,"alegar"
"386","allegiance",0,0,0,0,0,1,0,0,"lealtad"
"389","allegro",0,0,0,0,0,1,0,0,"alegro"
"390","alleviate",0,0,0,0,0,1,0,0,"aliviar"
"391","alleviation",0,0,0,0,0,1,0,0,"alivio"
"394","allied",0,0,0,0,0,1,0,0,"aliado"
"400","allowable",0,0,0,0,0,1,0,0,"admisible"
"404","allure",0,0,0,1,0,1,0,1,"seducir"
"405","alluring",0,0,0,0,0,1,0,0,"seductor"
"408","ally",0,0,0,0,0,1,0,0,"aliado"
"410","almighty",0,0,0,0,0,1,0,0,"todopoderoso"
"412","aloha",0,0,0,1,0,1,0,0,"aloha"
"414","aloof",0,0,0,0,1,0,0,0,"a distancia"
"421","altercation",1,0,0,0,1,0,0,0,"altercado"
"434","amaze",0,0,0,0,0,0,0,1,"asombro"
"436","amazingly",0,0,0,1,0,1,0,1,"Asombrosamente"
"437","ambassador",0,0,0,0,0,1,0,0,"embajador"
"441","ambiguous",0,0,0,0,1,0,0,0,"ambiguo"
"443","ambition",0,0,0,1,0,1,0,0,"ambición"
"445","ambulance",0,0,1,0,0,0,0,0,"ambulancia"
"446","ambush",1,0,1,0,1,0,0,1,"emboscada"
"447","ameliorate",0,0,0,0,0,1,0,0,"mejorar"
"448","amen",0,0,0,1,0,1,0,0,"amén"
"449","amenable",0,0,0,0,0,1,0,0,"dócil"
"450","amend",0,0,0,0,0,1,0,0,"enmendar"
"452","amends",0,0,0,0,0,1,0,0,"compensación"
"453","amenity",0,0,0,0,0,1,0,0,"amenidad"
"455","amiable",0,0,0,0,0,1,0,0,"amable"
"456","amicable",0,0,0,1,0,1,0,0,"amistoso"
"459","ammonia",0,1,0,0,0,0,0,0,"amoníaco"
"461","amnesia",0,0,0,0,1,0,0,0,"amnesia"
"462","amnesty",0,0,0,1,0,1,0,0,"amnistía"
"466","amour",0,0,0,1,0,1,0,0,"aventura amorosa"
"468","amphetamines",0,1,0,0,1,0,0,0,"anfetaminas"
"478","amuse",0,0,0,1,0,1,0,0,"entretener"
"479","amused",0,0,0,1,0,1,0,0,"divertido"
"480","amusement",0,0,0,1,0,1,0,0,"diversión"
"481","amusing",0,0,0,1,0,1,0,0,"entretenido"
"483","anaconda",0,1,1,0,1,0,0,0,"anaconda"
"486","anal",0,0,0,0,1,0,0,0,"anal"
"492","analyst",0,0,0,0,0,1,0,0,"analista"
"496","anarchism",1,0,1,0,1,0,0,0,"anarquismo"
"497","anarchist",1,0,1,0,1,0,0,0,"anarquista"
"498","anarchy",1,0,1,0,1,0,0,0,"anarquía"
"500","anathema",1,1,1,0,1,0,1,0,"anatema"
"506","anchor",0,0,0,0,0,1,0,0,"ancla"
"507","anchorage",0,0,0,0,0,1,1,0,"anclaje"
"508","ancient",0,0,0,0,1,0,0,0,"antiguo"
"513","angel",0,0,0,1,0,1,0,1,"ángel"
"514","angelic",0,0,0,1,0,1,0,0,"angelical"
"515","anger",1,0,0,0,1,0,0,0,"enfado"
"516","angina",0,0,1,0,1,0,0,0,"angina de pecho"
"519","angling",0,0,0,0,1,0,0,0,"pesca con caña"
"520","angry",1,1,0,0,1,0,0,0,"enfadado"
"521","anguish",1,0,1,0,1,0,1,0,"angustia"
"525","animate",0,0,0,0,0,1,0,0,"animar"
"526","animated",0,0,0,1,0,1,0,0,"animado"
"528","animosity",1,1,1,0,1,0,1,0,"animosidad"
"529","animus",1,0,0,0,1,0,0,0,"ánimo"
"535","annihilate",1,0,1,0,1,0,0,0,"aniquilar"
"536","annihilated",1,0,1,0,1,0,1,0,"aniquilado"
"537","annihilation",1,0,1,0,1,0,1,0,"aniquilación"
"542","annoy",1,1,0,0,1,0,0,0,"enojarse"
"543","annoyance",1,1,0,0,1,0,0,0,"molestia"
"544","annoying",1,0,0,0,1,0,0,0,"irritante"
"546","annul",0,0,0,0,1,0,0,0,"anular"
"548","annulment",0,0,0,0,1,0,1,0,"anulación"
"552","anomaly",0,0,1,0,1,0,0,1,"anomalía"
"554","anonymous",0,0,0,0,1,0,0,0,"anónimo"
"559","antagonism",1,0,0,0,1,0,0,0,"antagonismo"
"560","antagonist",1,0,0,0,1,0,0,0,"antagonista"
"561","antagonistic",1,1,0,0,1,0,0,0,"antagonista"
"569","anthrax",0,1,1,0,1,0,1,0,"ántrax"
"572","antibiotics",0,0,0,0,0,1,0,0,"antibióticos"
"573","antichrist",1,1,1,0,1,0,0,0,"antecristo"
"576","antidote",0,0,0,0,0,1,0,0,"antídoto"
"577","antifungal",0,0,0,0,0,1,0,0,"antifúngico"
"579","antipathy",1,1,0,0,1,0,0,0,"antipatía"
"581","antiquated",0,0,0,0,1,0,0,0,"anticuado"
"582","antique",0,0,0,0,0,1,0,0,"antiguo"
"584","antiseptic",0,0,0,0,0,1,0,0,"antiséptico"
"585","antisocial",1,1,1,0,1,0,1,0,"antisocial"
"586","antithesis",1,0,0,0,1,0,0,0,"antítesis"
"591","anxiety",1,0,1,0,1,0,1,0,"ansiedad"
"592","anxious",0,0,1,0,1,0,0,0,"ansioso"
"595","apache",0,0,1,0,1,0,0,0,"apache"
"597","apathetic",0,0,0,0,1,0,1,0,"apático"
"598","apathy",0,0,0,0,1,0,1,0,"apatía"
"602","aphid",0,1,0,0,1,0,0,0,"áfido"
"604","aplomb",0,0,0,0,0,1,0,0,"aplomo"
"606","apologetic",0,0,0,0,0,1,0,0,"apologético"
"608","apologize",0,0,0,0,0,1,1,0,"disculparse"
"609","apology",0,0,0,0,0,1,0,0,"disculpa"
"612","apostle",0,0,0,0,0,1,0,0,"apóstol"
"615","appalling",0,1,1,0,1,0,0,0,"pésimo"
"619","apparition",0,0,1,0,0,0,0,1,"aparición"
"626","appendicitis",0,0,1,0,1,0,1,0,"apendicitis"
"630","applause",0,0,0,1,0,1,0,1,"aplausos"
"646","appreciation",0,0,0,1,0,1,0,0,"apreciación"
"647","apprehend",0,0,1,0,0,0,0,0,"aprehender"
"648","apprehension",0,0,1,0,1,0,0,0,"detención"
"649","apprehensive",0,0,1,0,1,0,0,0,"aprensivo"
"654","approbation",0,0,0,0,0,1,0,0,"aprobación"
"655","appropriation",0,0,0,0,1,0,0,0,"apropiación"
"656","approval",0,0,0,0,0,1,0,0,"aprobación"
"657","approve",0,0,0,1,0,1,0,0,"aprobar"
"658","approving",0,0,0,0,0,1,0,0,"aprobatorio"
"665","apt",0,0,0,0,0,1,0,0,"apto"
"666","aptitude",0,0,0,0,0,1,0,0,"aptitud"
"684","archaeology",0,0,0,0,0,1,0,0,"arqueología"
"685","archaic",0,0,0,0,1,0,0,0,"arcaico"
"696","ardent",0,0,0,1,0,1,0,0,"ardiente"
"697","ardor",0,0,0,0,0,1,0,0,"ardor"
"698","arduous",0,0,0,0,1,0,0,0,"arduo"
"703","argue",1,0,0,0,1,0,0,0,"discutir"
"704","argument",1,0,0,0,1,0,0,0,"argumento"
"705","argumentation",1,0,0,0,0,0,0,0,"argumentación"
"706","argumentative",0,0,0,0,1,0,0,0,"discutidor"
"707","arguments",1,0,0,0,0,0,0,0,"argumentos"
"708","arid",0,0,0,0,1,0,1,0,"árido"
"709","aristocracy",0,0,0,0,0,1,0,0,"aristocracia"
"711","aristocratic",0,0,0,0,0,1,0,0,"aristocrático"
"716","armament",1,0,1,0,0,0,0,0,"armamento"
"717","armaments",0,0,1,0,1,0,0,0,"armamento"
"719","armed",1,0,1,0,1,1,0,0,"armado"
"720","armor",0,0,1,0,0,1,0,0,"armadura"
"721","armored",0,0,1,0,0,0,0,0,"blindado"
"725","aroma",0,0,0,0,0,1,0,0,"aroma"
"727","arouse",0,0,0,0,0,1,0,0,"despertar"
"728","arraignment",1,0,1,0,1,0,1,0,"acusación"
"732","array",0,0,0,0,0,1,0,0,"formación"
"733","arrears",0,0,0,0,1,0,0,0,"atrasos"
"734","arrest",0,0,0,0,1,0,0,0,"arrestar"
"737","arrogance",0,0,0,0,1,0,0,0,"arrogancia"
"738","arrogant",1,1,0,0,1,0,0,0,"arrogante"
"741","arsenic",0,1,1,0,1,0,1,0,"arsénico"
"742","arson",1,0,1,0,1,0,0,0,"incendio provocado"
"743","art",0,0,0,1,0,1,1,1,"Arte"
"750","articulate",0,0,0,0,0,1,0,0,"articular"
"751","articulation",0,0,0,0,0,1,0,0,"articulación"
"753","artillery",0,0,1,0,1,0,0,0,"artillería"
"754","artisan",0,0,0,0,0,1,0,0,"artesano"
"756","artiste",0,0,0,0,0,1,0,0,"artista"
"757","artistic",0,0,0,0,0,1,0,0,"artístico"
"760","ascendancy",0,0,0,0,0,1,0,0,"ascendencia"
"762","ascent",0,0,0,0,0,1,0,0,"ascenso"
"766","ash",0,0,0,0,1,0,0,0,"ceniza"
"767","ashamed",0,1,0,0,1,0,1,0,"avergonzado"
"768","ashes",0,0,0,0,1,0,1,0,"cenizas"
"770","asp",0,0,1,0,0,0,0,0,"áspid"
"775","aspiration",0,0,0,1,0,1,0,1,"aspiración"
"776","aspire",0,0,0,1,0,1,0,0,"aspirar"
"777","aspiring",0,0,0,1,0,1,0,0,"ambicioso"
"778","ass",0,0,0,0,1,0,0,0,"culo"
"779","assail",1,0,1,0,1,0,0,1,"atacar"
"780","assailant",1,0,1,0,1,0,1,0,"agresor"
"781","assassin",1,0,1,0,1,0,1,0,"asesino"
"782","assassinate",1,0,1,0,1,0,0,0,"asesinar"
"783","assassination",1,0,1,0,1,0,1,0,"asesinato"
"784","assault",1,0,1,0,1,0,0,0,"agresión"
"789","assembly",0,0,0,0,0,1,0,0,"asamblea"
"790","assent",0,0,0,0,0,1,0,0,"asentir"
"792","asserting",0,0,0,0,0,1,0,0,"afirmando"
"795","assessment",0,0,0,0,0,0,0,1,"evaluación"
"797","assets",0,0,0,0,0,1,0,0,"activos"
"798","asshole",1,1,0,0,1,0,0,0,"Estúpido"
"804","assist",0,0,0,0,0,1,0,0,"asistir"
"805","assistance",0,0,0,0,0,1,0,0,"asistencia"
"807","associate",0,0,0,0,0,1,0,0,"asociado"
"811","assuage",0,0,0,0,0,1,0,0,"calmar"
"815","assurance",0,0,0,0,0,1,0,0,"garantía"
"817","assured",0,0,0,0,0,1,0,0,"seguro"
"822","astonishingly",0,0,0,0,0,1,0,1,"asombrosamente"
"823","astonishment",0,0,0,1,0,1,0,1,"asombro"
"825","astray",0,0,1,0,1,0,0,0,"por mal camino"
"826","astringent",0,0,0,0,1,0,0,0,"astringente"
"827","astrologer",0,0,0,0,0,1,0,0,"astrólogo"
"829","astronaut",0,0,0,0,0,1,0,0,"astronauta"
"830","astronomer",0,0,0,0,0,1,0,0,"astrónomo"
"832","astute",0,0,0,0,0,1,0,0,"astuto"
"834","asylum",0,0,1,0,1,0,0,0,"asilo"
"836","asymmetry",0,1,0,0,0,0,0,0,"asimetría"
"839","atheism",0,0,0,0,1,0,0,0,"ateísmo"
"841","atherosclerosis",0,0,1,0,1,0,1,0,"aterosclerosis"
"842","athlete",0,0,0,0,0,1,0,0,"atleta"
"843","athletic",0,0,0,0,0,1,0,0,"atlético"
"850","atom",0,0,0,0,0,1,0,0,"átomo"
"852","atone",0,0,0,1,0,1,0,0,"expiar"
"853","atonement",0,0,0,0,0,1,0,0,"expiación"
"855","atrocious",1,1,0,0,1,0,0,0,"atroz"
"856","atrocity",1,1,1,0,1,0,1,0,"atrocidad"
"857","atrophy",0,1,1,0,1,0,1,0,"atrofia"
"859","attachment",0,0,0,0,0,1,0,0,"archivo adjunto"
"860","attack",1,0,1,0,1,0,0,0,"ataque"
"861","attacking",1,1,1,0,1,0,1,1,"agresor"
"863","attainable",0,0,0,0,0,1,0,0,"alcanzable"
"864","attainment",0,0,0,0,0,1,0,0,"logro"
"867","attendant",0,0,0,0,0,1,0,0,"asistente"
"868","attention",0,0,0,0,0,1,0,0,"atención"
"869","attentive",0,0,0,0,0,1,0,0,"atento"
"871","attenuated",0,0,0,0,1,0,0,0,"atenuado"
"872","attenuation",0,0,0,0,1,0,1,0,"atenuación"
"873","attest",0,0,0,0,0,1,0,0,"dar fe"
"878","attorney",1,0,1,0,0,1,0,0,"abogado"
"879","attraction",0,0,0,0,0,1,0,0,"atracción"
"880","attractiveness",0,0,0,0,0,1,0,0,"atractivo"
"889","audacity",0,0,0,0,1,0,0,0,"audacia"
"894","auditor",0,0,1,0,0,0,0,0,"auditor"
"898","augment",0,0,0,0,0,1,0,0,"aumentar"
"900","august",0,0,0,0,0,1,0,0,"agosto"
"901","aunt",0,0,0,0,0,1,0,0,"tía"
"902","aura",0,0,0,0,0,1,0,0,"aura"
"905","auspicious",0,0,0,1,0,1,0,0,"propicio"
"906","austere",0,0,1,0,1,0,1,0,"austero"
"907","austerity",0,0,0,0,1,0,0,0,"austeridad"
"908","authentic",0,0,0,1,0,1,0,0,"auténtico"
"911","authenticity",0,0,0,0,0,1,0,0,"autenticidad"
"912","author",0,0,0,0,0,1,0,0,"autor"
"913","authoritative",0,0,0,0,0,1,0,0,"autoritario"
"914","authority",0,0,0,0,0,1,0,0,"autoridad"
"915","authorization",0,0,0,0,0,1,0,0,"autorización"
"917","authorized",0,0,0,0,0,1,0,0,"autorizado"
"921","autocratic",0,0,0,0,1,0,0,0,"autocrático"
"926","autopsy",0,1,1,0,1,0,1,0,"autopsia"
"930","avalanche",0,0,1,0,1,0,1,1,"avalancha"
"931","avarice",1,1,0,0,1,0,0,0,"avaricia"
"932","avatar",0,0,0,0,0,1,0,0,"avatar"
"933","avenger",1,0,0,0,1,0,0,0,"vengador"
"937","averse",1,1,1,0,1,0,0,0,"contrario"
"938","aversion",1,1,1,0,1,0,0,0,"aversión"
"945","avoid",0,0,1,0,1,0,0,0,"evitar"
"946","avoidance",0,0,1,0,1,0,0,0,"evitación"
"947","avoiding",0,0,1,0,0,0,0,0,"evitando"
"951","award",0,0,0,1,0,1,0,1,"otorgar"
"953","awful",1,1,1,0,1,0,1,0,"horrible"
"954","awkwardness",0,1,0,0,1,0,0,0,"torpeza"
"956","awry",0,0,0,0,1,0,0,0,"torcido"
"962","ay",0,0,0,0,0,1,0,0,"sí"
"963","aye",0,0,0,0,0,1,0,0,"sí"
"966","babble",0,0,0,0,1,0,0,0,"balbucear"
"967","babbling",0,0,0,0,1,0,0,0,"balbuceo"
"968","baboon",0,1,0,0,1,0,0,0,"babuino"
"969","baby",0,0,0,1,0,1,0,0,"bebé"
"971","baccalaureate",0,0,0,0,0,1,0,0,"bachillerato"
"975","backbone",1,0,0,0,0,1,0,0,"columna vertebral"
"983","backward",0,0,0,0,1,0,0,0,"hacia atrás"
"984","backwards",0,1,0,0,1,0,0,0,"hacia atrás"
"985","backwater",0,0,0,0,1,0,1,0,"remanso"
"986","bacteria",0,1,1,0,1,0,1,0,"bacterias"
"987","bacterium",0,1,1,0,1,0,0,0,"bacteria"
"988","bad",1,1,1,0,1,0,1,0,"malo"
"990","badger",1,0,0,0,1,0,0,0,"tejón"
"991","badly",0,0,0,0,1,0,1,0,"gravemente"
"992","badness",1,1,1,0,1,0,0,0,"maldad"
"999","bailiff",0,0,1,0,1,0,0,0,"alguacil"
"1000","bait",0,0,1,0,1,0,0,0,"carnada"
"1005","balance",0,0,0,0,0,1,0,0,"balance"
"1006","balanced",0,0,0,0,0,1,0,0,"equilibrado"
"1009","bale",0,0,1,0,1,0,0,0,"bala"
"1010","balk",0,0,0,0,1,0,0,0,"obstáculo"
"1012","ballad",0,0,0,0,0,1,0,0,"balada"
"1014","ballet",0,0,0,0,0,1,0,0,"ballet"
"1016","ballot",0,0,0,0,0,1,0,0,"votación"
"1018","balm",0,0,0,1,1,1,0,0,"bálsamo"
"1020","balsam",0,0,0,0,0,1,0,0,"bálsamo"
"1022","ban",0,0,0,0,1,0,0,0,"prohibición"
"1026","bandit",0,0,0,0,1,0,0,0,"bandido"
"1028","bane",1,1,1,0,1,0,0,0,"perdición"
"1029","bang",1,1,1,0,1,0,1,1,"estallido"
"1030","banger",1,0,1,0,1,0,0,1,"petardo"
"1031","banish",1,1,1,0,1,0,1,0,"desterrar"
"1032","banished",1,0,1,0,1,0,1,0,"alejado"
"1033","banishment",1,1,0,0,1,0,1,0,"destierro"
"1037","bankrupt",0,0,1,0,1,0,1,0,"arruinado"
"1038","bankruptcy",1,1,1,0,1,0,1,0,"bancarrota"
"1040","banquet",0,0,0,1,0,1,0,0,"banquete"
"1041","banshee",1,1,1,0,1,0,1,0,"alma en pena"
"1043","baptism",0,0,0,0,0,1,0,0,"bautismo"
"1044","baptismal",0,0,0,1,0,1,0,0,"bautismal"
"1046","barb",1,0,0,0,1,0,0,0,"lengüeta"
"1047","barbarian",0,0,1,0,1,0,0,0,"bárbaro"
"1048","barbaric",1,1,1,0,1,0,0,0,"bárbaro"
"1049","barbarism",0,0,0,0,1,0,0,0,"barbarie"
"1052","bard",0,0,0,0,0,1,0,0,"bardo"
"1056","barf",0,1,0,0,0,0,0,0,"vomitar"
"1057","bargain",0,0,0,0,0,1,0,0,"negociar"
"1060","bark",1,0,0,0,1,0,0,0,"ladrar"
